1000 50318
0 17 1
0 19 1
0 22 1
0 29 1
0 36 1
0 42 1
0 46 1
0 48 1
0 51 1
0 54 1
0 60 1
0 62 1
0 68 1
0 81 1
0 82 1
0 96 1
0 103 1
0 138 1
0 152 1
0 163 1
0 180 1
0 183 1
0 192 1
0 202 1
0 203 1
0 210 1
0 212 1
0 217 1
0 218 1
0 233 1
0 234 1
0 235 1
0 236 1
0 242 1
0 280 1
0 304 1
0 305 1
0 317 1
0 327 1
0 329 1
0 332 1
0 341 1
0 346 1
0 360 1
0 363 1
0 366 1
0 379 1
0 395 1
0 407 1
0 408 1
0 412 1
0 427 1
0 446 1
0 448 1
0 449 1
0 452 1
0 455 1
0 463 1
0 492 1
0 494 1
0 498 1
0 500 1
0 503 1
0 517 1
0 525 1
0 529 1
0 532 1
0 545 1
0 549 1
0 550 1
0 555 1
0 560 1
0 562 1
0 572 1
0 612 1
0 615 1
0 623 1
0 631 1
0 674 1
0 676 1
0 698 1
0 702 1
0 714 1
0 715 1
0 716 1
0 736 1
0 753 1
0 756 1
0 773 1
0 780 1
0 786 1
0 789 1
0 798 1
0 811 1
0 823 1
0 826 1
0 836 1
0 862 1
0 876 1
0 880 1
0 893 1
0 903 1
0 911 1
0 913 1
0 952 1
0 962 1
0 969 1
0 973 1
0 974 1
0 988 1
0 999 1
1 36 1
1 44 1
1 47 1
1 58 1
1 70 1
1 96 1
1 102 1
1 105 1
1 125 1
1 126 1
1 147 1
1 183 1
1 195 1
1 210 1
1 229 1
1 243 1
1 261 1
1 276 1
1 286 1
1 308 1
1 310 1
1 319 1
1 326 1
1 328 1
1 337 1
1 340 1
1 351 1
1 372 1
1 391 1
1 395 1
1 407 1
1 422 1
1 435 1
1 441 1
1 444 1
1 483 1
1 488 1
1 497 1
1 523 1
1 524 1
1 531 1
1 533 1
1 543 1
1 552 1
1 562 1
1 588 1
1 602 1
1 608 1
1 616 1
1 624 1
1 627 1
1 635 1
1 650 1
1 658 1
1 665 1
1 692 1
1 695 1
1 722 1
1 739 1
1 745 1
1 749 1
1 754 1
1 781 1
1 787 1
1 790 1
1 814 1
1 824 1
1 826 1
1 831 1
1 846 1
1 872 1
1 883 1
1 887 1
1 906 1
1 916 1
1 924 1
1 926 1
1 963 1
1 964 1
1 969 1
1 982 1
1 995 1
2 3 1
2 20 1
2 21 1
2 40 1
2 46 1
2 69 1
2 71 1
2 79 1
2 98 1
2 99 1
2 112 1
2 116 1
2 136 1
2 151 1
2 153 1
2 175 1
2 184 1
2 189 1
2 192 1
2 201 1
2 226 1
2 227 1
2 228 1
2 234 1
2 237 1
2 244 1
2 270 1
2 271 1
2 281 1
2 285 1
2 293 1
2 308 1
2 310 1
2 328 1
2 334 1
2 335 1
2 337 1
2 351 1
2 371 1
2 372 1
2 378 1
2 401 1
2 403 1
2 416 1
2 425 1
2 433 1
2 441 1
2 443 1
2 444 1
2 446 1
2 460 1
2 463 1
2 468 1
2 492 1
2 502 1
2 506 1
2 519 1
2 525 1
2 538 1
2 544 1
2 547 1
2 551 1
2 558 1
2 564 1
2 565 1
2 576 1
2 581 1
2 588 1
2 590 1
2 599 1
2 630 1
2 633 1
2 642 1
2 667 1
2 674 1
2 679 1
2 681 1
2 701 1
2 740 1
2 741 1
2 742 1
2 746 1
2 754 1
2 756 1
2 761 1
2 762 1
2 765 1
2 795 1
2 797 1
2 811 1
2 833 1
2 839 1
2 848 1
2 850 1
2 860 1
2 879 1
2 904 1
2 907 1
2 927 1
2 928 1
2 936 1
2 939 1
2 941 1
2 942 1
2 946 1
2 962 1
2 987 1
2 991 1
3 21 1
3 40 1
3 43 1
3 50 1
3 56 1
3 63 1
3 68 1
3 71 1
3 77 1
3 78 1
3 83 1
3 85 1
3 91 1
3 100 1
3 108 1
3 115 1
3 129 1
3 133 1
3 143 1
3 144 1
3 157 1
3 164 1
3 168 1
3 190 1
3 200 1
3 203 1
3 214 1
3 230 1
3 247 1
3 277 1
3 281 1
3 291 1
3 317 1
3 325 1
3 335 1
3 338 1
3 341 1
3 365 1
3 370 1
3 375 1
3 378 1
3 392 1
3 403 1
3 404 1
3 408 1
3 412 1
3 413 1
3 430 1
3 441 1
3 455 1
3 460 1
3 469 1
3 500 1
3 503 1
3 510 1
3 526 1
3 527 1
3 528 1
3 530 1
3 537 1
3 542 1
3 557 1
3 570 1
3 585 1
3 586 1
3 600 1
3 611 1
3 613 1
3 619 1
3 620 1
3 634 1
3 651 1
3 665 1
3 674 1
3 676 1
3 678 1
3 696 1
3 701 1
3 705 1
3 713 1
3 733 1
3 734 1
3 747 1
3 748 1
3 765 1
3 774 1
3 783 1
3 784 1
3 787 1
3 789 1
3 790 1
3 798 1
3 804 1
3 811 1
3 834 1
3 840 1
3 841 1
3 871 1
3 881 1
3 891 1
3 898 1
3 911 1
3 918 1
3 925 1
3 937 1
3 939 1
3 942 1
3 943 1
3 947 1
3 951 1
3 955 1
3 962 1
3 967 1
3 976 1
3 982 1
3 985 1
3 986 1
3 987 1
4 14 1
4 47 1
4 63 1
4 69 1
4 72 1
4 75 1
4 79 1
4 87 1
4 89 1
4 120 1
4 123 1
4 152 1
4 154 1
4 158 1
4 160 1
4 168 1
4 174 1
4 184 1
4 189 1
4 195 1
4 197 1
4 209 1
4 211 1
4 212 1
4 233 1
4 240 1
4 253 1
4 262 1
4 266 1
4 269 1
4 296 1
4 310 1
4 335 1
4 352 1
4 365 1
4 367 1
4 369 1
4 370 1
4 387 1
4 393 1
4 401 1
4 411 1
4 420 1
4 426 1
4 434 1
4 448 1
4 452 1
4 466 1
4 470 1
4 486 1
4 488 1
4 497 1
4 508 1
4 511 1
4 513 1
4 523 1
4 537 1
4 543 1
4 547 1
4 549 1
4 556 1
4 564 1
4 577 1
4 580 1
4 582 1
4 584 1
4 593 1
4 607 1
4 613 1
4 627 1
4 631 1
4 650 1
4 657 1
4 664 1
4 672 1
4 683 1
4 695 1
4 697 1
4 700 1
4 702 1
4 703 1
4 712 1
4 717 1
4 726 1
4 736 1
4 743 1
4 748 1
4 755 1
4 764 1
4 775 1
4 790 1
4 796 1
4 808 1
4 817 1
4 825 1
4 848 1
4 852 1
4 863 1
4 864 1
4 866 1
4 878 1
4 888 1
4 897 1
4 904 1
4 910 1
4 930 1
4 937 1
4 958 1
4 970 1
4 977 1
4 979 1
4 989 1
4 994 1
5 7 1
5 11 1
5 22 1
5 59 1
5 61 1
5 66 1
5 68 1
5 87 1
5 89 1
5 110 1
5 120 1
5 121 1
5 122 1
5 132 1
5 140 1
5 145 1
5 156 1
5 176 1
5 185 1
5 189 1
5 220 1
5 223 1
5 232 1
5 235 1
5 242 1
5 283 1
5 288 1
5 290 1
5 296 1
5 321 1
5 330 1
5 338 1
5 346 1
5 360 1
5 361 1
5 379 1
5 382 1
5 424 1
5 437 1
5 442 1
5 443 1
5 451 1
5 477 1
5 486 1
5 490 1
5 509 1
5 510 1
5 511 1
5 517 1
5 526 1
5 539 1
5 540 1
5 547 1
5 556 1
5 557 1
5 564 1
5 566 1
5 583 1
5 595 1
5 605 1
5 623 1
5 627 1
5 628 1
5 634 1
5 646 1
5 662 1
5 673 1
5 707 1
5 721 1
5 741 1
5 745 1
5 748 1
5 770 1
5 775 1
5 798 1
5 824 1
5 825 1
5 829 1
5 838 1
5 841 1
5 847 1
5 870 1
5 872 1
5 873 1
5 879 1
5 890 1
5 891 1
5 902 1
5 904 1
5 908 1
5 909 1
5 914 1
5 923 1
5 970 1
5 974 1
5 975 1
5 978 1
5 989 1
5 991 1
6 21 1
6 22 1
6 30 1
6 49 1
6 59 1
6 72 1
6 98 1
6 112 1
6 153 1
6 161 1
6 170 1
6 172 1
6 197 1
6 206 1
6 225 1
6 228 1
6 230 1
6 233 1
6 239 1
6 244 1
6 246 1
6 259 1
6 264 1
6 271 1
6 289 1
6 303 1
6 322 1
6 329 1
6 330 1
6 352 1
6 363 1
6 368 1
6 370 1
6 374 1
6 377 1
6 390 1
6 402 1
6 404 1
6 411 1
6 415 1
6 418 1
6 421 1
6 428 1
6 447 1
6 449 1
6 454 1
6 457 1
6 460 1
6 472 1
6 485 1
6 489 1
6 497 1
6 501 1
6 525 1
6 546 1
6 548 1
6 563 1
6 564 1
6 567 1
6 595 1
6 605 1
6 610 1
6 612 1
6 621 1
6 637 1
6 638 1
6 644 1
6 656 1
6 682 1
6 708 1
6 709 1
6 717 1
6 724 1
6 725 1
6 732 1
6 736 1
6 758 1
6 780 1
6 795 1
6 801 1
6 809 1
6 827 1
6 830 1
6 832 1
6 833 1
6 892 1
6 899 1
6 904 1
6 910 1
6 914 1
6 920 1
6 923 1
6 951 1
6 955 1
6 964 1
6 972 1
6 977 1
7 21 1
7 48 1
7 51 1
7 54 1
7 70 1
7 76 1
7 95 1
7 98 1
7 107 1
7 132 1
7 133 1
7 142 1
7 157 1
7 180 1
7 195 1
7 201 1
7 203 1
7 239 1
7 245 1
7 257 1
7 260 1
7 267 1
7 269 1
7 279 1
7 294 1
7 298 1
7 305 1
7 314 1
7 336 1
7 341 1
7 349 1
7 357 1
7 377 1
7 394 1
7 400 1
7 424 1
7 429 1
7 444 1
7 447 1
7 452 1
7 470 1
7 474 1
7 483 1
7 497 1
7 509 1
7 527 1
7 530 1
7 534 1
7 542 1
7 545 1
7 562 1
7 575 1
7 576 1
7 583 1
7 587 1
7 590 1
7 599 1
7 606 1
7 614 1
7 630 1
7 631 1
7 662 1
7 675 1
7 676 1
7 684 1
7 735 1
7 736 1
7 739 1
7 746 1
7 774 1
7 787 1
7 792 1
7 795 1
7 807 1
7 818 1
7 822 1
7 825 1
7 834 1
7 841 1
7 855 1
7 875 1
7 898 1
7 911 1
7 931 1
7 948 1
7 951 1
7 954 1
7 982 1
8 21 1
8 26 1
8 43 1
8 44 1
8 48 1
8 63 1
8 70 1
8 77 1
8 78 1
8 84 1
8 85 1
8 86 1
8 100 1
8 143 1
8 148 1
8 155 1
8 162 1
8 174 1
8 186 1
8 198 1
8 204 1
8 205 1
8 206 1
8 211 1
8 227 1
8 238 1
8 243 1
8 266 1
